Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
Aruba,ABW,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,
Afghanistan,AFG,377000,377600,378100,378730,378750,379130,379790,379800,379960,380060,380360,380460,380480,380480,380480,380480,380500,380500,380490,380490,380530,380540,380540,380540,380540,380540,380450,380400,380400,380400,380300,380300,379340,378130,377530,377520,377900,378670,377530,377530,377530,377530,379100,379110,379100,379100,379100,379100,379100,379110,379100,379100,379100,379100,379100,379100,,,,,,,
Angola,AGO,571700,572000,572200,572500,572700,573000,573300,573600,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574040,574500,575000,575000,575000,575000,575000,575000,575000,574000,573000,573000,573900,575900,575900,575900,575900,576900,576900,582900,583900,589900,589900,591900,591900,591900,591900,,,,,,,
Albania,ALB,12320,12320,12330,12300,12370,12400,12440,12400,12350,12300,12000,11740,11460,11220,10800,10750,11090,11140,11170,11180,11160,11140,11100,11130,11120,11110,11110,11170,11100,11210,11270,11270,11260,11260,11270,11310,11350,11390,11450,11440,11390,11400,11210,11220,10770,11200,11190,11810,12013.00049,12013.00049,12010,12013.00049,11873.00049,11742.90039,11743.00049,11816.99951,,,,,,,
Andorra,AND,260,260,260,260,260,260,260,260,260,260,250,250,240,240,240,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,227.5,228.5000038,228.6000061,228.0999947,217.9999924,217.8000069,207.7000046,207.6000023,207.7000046,197.7000046,197.7000046,187.6000023,188.0999947,188.0999947,188.0999947,187.8000069,,,,,,,
Arab World,ARB,3127460,3126440,3128570,3128840,3130980,3130890,3136780,3139750,3146300,3153840,3179440,3184910,3183200,3189790,3185730,3194140,3196000,3201430,3202930,3213530,3171596,3174293.4,3180167.4,3235683.6,3282938,3331758,3386710,3436840,3487488,3543042,3554814,3566269.8,3646870,3722690,3791120,3863364.6,3929959.199,4012316.201,4081785,4079652,4079201,4086271,4091501.992,4099106,4105417,4099677.5,4100239.999,4091119.599,4085634.597,4091667.007,4775446.902,4778943.377,4785734.431,4793847.431,4795791.511,4794229.055,,,,,,,
United Arab Emirates,ARE,2080,2080,2080,2080,2090,2100,2100,2100,2100,2120,2120,2120,2130,2140,2150,2160,2170,2180,2190,2230,2270,2270,2320,2320,2350,2380,2380,2390,2390,2850,3100,3390,3550,3720,3830,3920,4000,4030,5210,5520,5670,5710,5590,5590,5620,5435.999756,5375.999756,5445.999756,3928.999939,3972.999878,3935,3817.000122,3843.999939,3875,3877.999878,3887.999878,,,,,,,
Argentina,ARG,1378290,1364340,1348750,1332970,1317800,1309480,1297030,1292350,1293020,1292800,1291540,1290280,1289020,1287760,1286500,1285240,1283980,1282720,1281460,1280200,1278940,1287690,1286440,1285170,1283910,1282650,1279390,1273800,1274700,1275650,1276600,1277550,1278500,1279480,1280450,1281420,1282350,1283300,1284120,1285100,1286060,1287100,1308835,1343450,1377975,1411040,1440330,1442610,1437920,1474810,1482810,1492540,1491990,1487000,1487000,1487000,,,,,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700,11810,12000,12440,13060,13320,13280,13230,13230,13280,13910,14440,15050,16050,17564.00024,17519.00024,17488.00049,17463.00049,17350,16980.99976,16830,16830,16806.99951,16766.99951,16768.00049,,,,,,,
American Samoa,ASM,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32.00000048,32.00000048,32.00000048,35,40,40,46.99999809,47.89999962,48.00000191,45,45,50.39999962,50,50,50,48.00000191,48.00000191,49.00000095,49.00000095,49.00000095,49.00000095,49.00000095,49.00000095,49.00000095,49.00000095,,,,,,,
